#Team:Unknown
#BoatNo:1
#Source:SailLogger iOS
#Interval:1
#Device:iPhone
timestamp,latitude,longitude,sog,cog,heel,pitch
1721915510934.0,45.35258421,-75.82461127,1.18,-1.0,2.47,27.3
1721915511934.0,45.35258248,-75.82459947,1.36,79.68,-18.51,25.27
1721915512934.0,45.35258119,-75.8245862,1.5,89.08,-10.1,36.27
1721915513934.0,45.35258868,-75.82458816,1.26,-1.0,-5.05,40.66
1721915514934.0,45.35259502,-75.82457767,1.39,60.81,4.41,-7.99
1721915515934.0,45.35259375,-75.82457576,1.22,-1.0,37.1,-54.17
1721915516934.0,45.35259935,-75.82455505,1.79,67.59,-10.3,-54.05
1721915517934.0,45.35259896,-75.82455124,1.03,-1.0,48.64,-58.1
1721915518934.0,45.3526034,-75.82453298,1.73,72.16,43.59,-48.63
1721915519934.0,45.35261073,-75.82452629,1.97,63.45,39.27,-46.28
1721915520934.0,45.35261014,-75.82451157,1.93,69.43,51.51,-54.44
1721915521934.0,45.35261357,-75.82450462,1.76,59.78,52.55,-52.54
1721915522934.0,45.35261466,-75.82449328,1.53,71.29,53.22,-49.96
1721915523934.0,45.35262213,-75.82448387,1.76,48.86,44.99,-52.42
1721915524934.0,45.35262387,-75.82447387,1.56,62.9,58.32,-59.53
1721915525934.0,45.35263208,-75.82446619,1.73,61.53,57.77,-56.27
1721915526934.0,45.35263722,-75.82445574,2.49,72.67,62.45,-49.29
1721915527934.0,45.35264242,-75.8244514,1.71,48.44,60.18,-49.34
1721915528934.0,45.35264471,-75.82444064,1.77,61.39,57.19,-50.4
1721915529934.0,45.35265127,-75.82442993,1.82,54.23,57.66,-50.1
1721915530934.0,45.35265547,-75.82442032,1.74,51.5,57.47,-49.8
1721915531934.0,45.35265877,-75.82441166,1.73,53.73,58.03,-49.91
1721915532934.0,45.35266292,-75.8244029,1.8,52.03,58.27,-49.61
1721915533934.0,45.35266637,-75.82439304,1.86,50.4,68.09,-44.29
1721915534934.0,45.35267182,-75.82438308,1.88,54.1,61.46,-44.46
1721915535934.0,45.35268116,-75.82437377,2.12,47.66,62.7,-43.06
1721915536934.0,45.35268976,-75.82436216,2.25,49.51,64.41,-42.6
1721915537934.0,45.35269908,-75.82434824,2.22,45.69,62.05,-44.29
1721915538934.0,45.3527103,-75.82433035,2.66,47.37,61.61,-44.43
1721915539934.0,45.35272058,-75.82431967,2.54,45.62,60.73,-44.84
1721915540934.0,45.35273144,-75.82430797,2.7,44.39,61.1,-46.0
1721915541933.0,45.35274237,-75.8242991,2.62,41.6,59.96,-46.08
1721915542934.0,45.35275252,-75.8242806,2.69,41.42,61.69,-47.71
1721915543934.0,45.35275957,-75.82426866,2.58,43.47,56.05,-45.1
1721915544934.0,45.3527679,-75.82425897,2.53,40.22,90.07,-9.54
1721915545933.0,45.35277345,-75.8242485,2.17,43.56,82.82,31.65
1721915546933.0,45.35277847,-75.82423593,2.4,53.7,83.83,30.5
1721915547934.0,45.352786,-75.82423004,2.1,40.87,83.67,32.54
1721915548933.0,45.35278906,-75.82421981,1.99,52.98,82.88,33.58
1721915549933.0,45.35279514,-75.82420552,2.62,51.38,82.25,33.59
1721915550933.0,45.35279902,-75.82419617,2.19,55.13,81.91,34.6
1721915551933.0,45.35280834,-75.82417982,2.92,51.08,81.93,33.98
1721915552933.0,45.35281864,-75.8241652,3.02,50.59,81.5,32.51
1721915553933.0,45.35283131,-75.82414773,3.42,47.27,79.18,32.16
1721915554933.0,45.35284075,-75.82413395,3.39,48.31,83.0,31.73
1721915555933.0,45.35285035,-75.82411816,3.5,48.55,79.54,36.75
1721915556933.0,45.352864,-75.82410176,3.67,44.26,80.25,37.49
1721915557933.0,45.35287835,-75.82408195,3.67,45.52,79.88,35.01
1721915558933.0,45.35289701,-75.8240603,4.34,39.11,83.5,22.79
1721915559933.0,45.352911,-75.82404579,3.94,37.84,84.69,20.83
1721915560933.0,45.35292557,-75.82402945,3.87,36.24,85.09,22.6
1721915561933.0,45.35294165,-75.82401494,3.85,37.3,85.68,22.45
1721915562933.0,45.3529572,-75.82399944,3.95,36.58,85.84,21.61
1721915563933.0,45.35297114,-75.82398192,4.02,36.29,84.42,23.21
1721915564933.0,45.35298744,-75.82396435,4.06,36.11,84.75,22.68
1721915565933.0,45.35300135,-75.82395236,3.68,37.06,84.64,22.84
1721915566933.0,45.35301365,-75.82393887,3.61,37.46,85.15,23.95
1721915567933.0,45.35302598,-75.82392658,3.43,36.38,85.47,24.82
1721915568933.0,45.35303804,-75.82391314,3.2,41.33,86.0,25.17
1721915569933.0,45.35305213,-75.82390362,3.41,29.89,85.98,27.18
1721915570933.0,45.35306366,-75.82388738,3.21,39.62,84.44,26.5
1721915571933.0,45.35307948,-75.82388344,3.3,31.15,83.09,27.47
1721915572933.0,45.35309442,-75.8238731,3.46,28.77,83.43,29.72
1721915573933.0,45.35310867,-75.82385806,3.56,34.11,81.93,30.54
1721915574933.0,45.35312806,-75.82385052,3.74,17.55,71.41,52.22
1721915575933.0,45.35314246,-75.82383599,3.59,24.05,-23.76,74.55
1721915576933.0,45.35315182,-75.82383203,3.25,30.04,-76.83,82.81
1721915577933.0,45.35316786,-75.82382896,3.74,12.87,126.2,55.46
1721915578933.0,45.35318071,-75.82381952,3.8,20.12,120.09,46.72
1721915579933.0,45.35319504,-75.82380558,3.39,23.84,123.33,45.53
1721915580933.0,45.35320794,-75.82380239,2.89,15.02,10.04,10.68
1721915581933.0,45.3532144,-75.82379927,1.86,8.15,44.72,25.43
1721915582933.0,45.35323179,-75.82379122,3.18,13.85,-44.72,56.3
1721915583933.0,45.35325218,-75.82378132,3.48,13.57,-11.8,69.12
1721915584933.0,45.35326611,-75.82377708,3.16,12.8,-39.56,36.61
1721915585933.0,45.35327973,-75.8237633,3.43,23.86,-26.9,41.11
1721915586933.0,45.35329208,-75.82375648,3.2,18.23,-27.07,37.8
1721915587933.0,45.35331007,-75.82375692,3.53,5.39,-24.91,37.93
1721915588933.0,45.35332658,-75.82375358,3.45,8.09,-26.08,37.9
1721915589933.0,45.35334152,-75.82374672,3.58,12.59,-28.34,36.22
1721915590933.0,45.35335586,-75.82374045,3.58,12.74,-29.26,38.14
1721915591933.0,45.35337502,-75.82373815,3.89,6.12,-27.51,37.85
1721915592933.0,45.35339093,-75.82373657,3.57,3.95,-28.92,38.78
1721915593933.0,45.35340747,-75.82373326,3.24,4.3,-31.15,35.53
1721915594933.0,45.35342723,-75.82373161,3.6,5.34,-30.06,34.11
1721915595933.0,45.35344337,-75.82373514,3.36,359.17,-28.42,36.95
1721915596933.0,45.35345695,-75.82372977,3.26,7.19,-27.28,35.58
1721915597933.0,45.35346988,-75.82373235,3.03,3.44,-26.12,34.99
1721915598933.0,45.35348019,-75.82373397,2.91,0.9,-27.5,38.21
1721915599933.0,45.35349398,-75.82373007,2.85,6.21,-27.25,32.77
1721915600933.0,45.35350725,-75.82373483,2.97,4.6,-26.32,37.08
1721915601933.0,45.3535113,-75.82373,2.06,7.15,-26.65,38.3
1721915602933.0,45.35351987,-75.82372897,2.16,3.81,-24.91,36.52
1721915603933.0,45.35353423,-75.82372715,2.85,0.86,-24.55,38.22
1721915604933.0,45.3535408,-75.82372642,1.97,10.77,-23.9,36.6
1721915605933.0,45.35355257,-75.82372854,2.69,359.86,-25.75,38.38
1721915606933.0,45.35356607,-75.82372685,3.01,2.88,-24.0,33.79
1721915607933.0,45.35356782,-75.82372918,1.71,350.18,-27.11,39.73
1721915608933.0,45.35357615,-75.8237286,1.84,355.72,-25.78,35.27
1721915609933.0,45.35358671,-75.82372063,2.43,13.55,-26.69,35.09
1721915610933.0,45.35359207,-75.82371768,1.86,14.65,-25.57,37.67
1721915611933.0,45.35360298,-75.82372034,2.57,2.01,-23.96,40.44
1721915612933.0,45.35360912,-75.82372151,2.08,4.07,-23.58,35.83
1721915613933.0,45.35361724,-75.8237228,2.02,6.45,-21.21,37.4
1721915614933.0,45.35362156,-75.82372251,1.55,358.07,-23.28,38.56
1721915615933.0,45.35362907,-75.82371853,1.63,1.24,-23.15,37.06
1721915616933.0,45.3536343,-75.82371682,1.35,8.15,-22.79,37.06
1721915617933.0,45.35364445,-75.82371249,1.98,16.42,-21.09,36.14
1721915618933.0,45.35364983,-75.82371181,1.68,13.32,-21.82,38.78
1721915619933.0,45.35365242,-75.82371159,1.34,-1.0,-21.86,36.44
1721915620933.0,45.35366102,-75.82371222,1.37,4.91,-20.34,37.95
1721915621933.0,45.35366394,-75.82370886,1.05,-1.0,-20.29,39.28
1721915622933.0,45.35367372,-75.82370965,1.33,358.44,-18.28,37.76
1721915623933.0,45.35367844,-75.82370686,1.15,-1.0,-18.39,39.83
1721915624933.0,45.35368608,-75.82370836,1.28,-1.0,-15.86,38.9
1721915625933.0,45.35369289,-75.82370655,1.26,-1.0,-20.55,39.49
1721915626933.0,45.35370451,-75.82370268,1.68,10.66,-17.17,36.67
1721915627933.0,45.35370298,-75.82369915,1.13,-1.0,-18.97,38.72
1721915628933.0,45.35370201,-75.82369282,0.9,-1.0,-18.21,36.35
1721915629933.0,45.35370185,-75.82369204,0.78,-1.0,-24.12,38.05
1721915630933.0,45.35370287,-75.82369042,0.66,-1.0,-22.61,36.0
1721915631933.0,45.35370541,-75.82368624,0.84,-1.0,-21.76,37.2
1721915632933.0,45.35370805,-75.82368198,0.69,-1.0,-24.62,38.36
1721915633933.0,45.35370923,-75.8236794,0.63,-1.0,-19.53,37.17
1721915634933.0,45.3537155,-75.82367641,0.92,-1.0,-20.75,38.26
1721915635933.0,45.35371918,-75.82367373,0.84,-1.0,-18.29,38.06
1721915636933.0,45.35372258,-75.82367235,0.63,-1.0,-20.67,38.09
1721915637933.0,45.35372377,-75.8236674,0.7,-1.0,-16.59,37.81
1721915638933.0,45.35372671,-75.82366451,0.96,-1.0,-19.9,37.81
1721915639933.0,45.3537275,-75.82366541,0.44,-1.0,-23.41,37.3
1721915640933.0,45.35372719,-75.82366719,0.64,-1.0,-34.36,33.86
1721915641933.0,45.35372902,-75.82365918,1.3,58.63,-35.91,33.05
1721915642933.0,45.35372474,-75.823663,0.5,-1.0,-46.83,28.6
1721915643933.0,45.35372572,-75.82365859,0.52,-1.0,-45.95,28.93
1721915644933.0,45.35373056,-75.82365366,0.81,-1.0,-31.61,33.21
1721915645933.0,45.35373845,-75.82365024,0.94,-1.0,-39.16,32.28
1721915646933.0,45.35374797,-75.82364625,1.34,25.08,-48.08,28.21
1721915647933.0,45.35375331,-75.82364015,1.29,27.63,-45.44,28.89
1721915648933.0,45.35375378,-75.82363764,1.09,-1.0,-30.79,34.04
1721915649933.0,45.35376143,-75.82363283,1.21,19.45,-33.62,33.8
1721915650933.0,45.35376708,-75.82362442,1.66,33.01,-39.72,30.31
1721915651933.0,45.35376965,-75.82362569,1.27,-1.0,-41.18,31.88
1721915652933.0,45.35377306,-75.8236207,1.22,-1.0,-38.94,28.47
1721915653933.0,45.35378243,-75.82361391,1.47,22.42,-36.49,33.41
1721915654933.0,45.35378682,-75.82360766,1.43,35.79,-33.12,30.79
1721915655933.0,45.35379864,-75.82360743,1.83,11.74,-35.98,32.31
1721915656933.0,45.35380588,-75.82360109,1.82,26.41,-36.14,28.86
1721915657933.0,45.35381274,-75.82359524,1.86,21.57,-38.27,33.53
1721915658933.0,45.35382028,-75.82358764,1.55,37.18,-36.83,32.2
1721915659933.0,45.35383052,-75.82358562,1.83,22.05,-35.95,30.94
1721915660933.0,45.35384005,-75.82358332,1.75,11.23,-39.45,30.63
1721915661932.0,45.35385,-75.82358615,1.97,359.94,-44.82,32.85
1721915662932.0,45.35385963,-75.82357925,1.96,19.81,-42.11,27.59
1721915663932.0,45.35386926,-75.82357664,1.86,16.14,-35.07,33.73
1721915664932.0,45.35387577,-75.82357691,1.69,6.08,-24.48,34.96
1721915665932.0,45.35388412,-75.82358215,2.26,1.66,-24.1,36.2
1721915666932.0,45.35389317,-75.82357765,2.29,3.51,-27.48,35.22
1721915667933.0,45.35390531,-75.82357955,2.26,4.11,-29.11,35.62
1721915668932.0,45.35391459,-75.82358473,2.12,353.65,-25.65,36.52
1721915669932.0,45.35392581,-75.82358643,2.41,347.9,-26.7,33.25
1721915670933.0,45.35393372,-75.82359337,2.28,346.4,-26.38,36.2
1721915671933.0,45.3539425,-75.82358959,2.02,357.53,-26.39,34.08
1721915672933.0,45.35395193,-75.82359972,1.9,336.68,-27.92,38.84
1721915673933.0,45.35395659,-75.82359849,1.61,346.43,-26.4,34.14
1721915674933.0,45.35396592,-75.82360379,2.08,343.65,-27.87,35.33
1721915675933.0,45.3539752,-75.82360299,1.81,353.99,-29.2,37.55
1721915676933.0,45.35398177,-75.82360364,1.67,355.66,-30.32,34.24
1721915677933.0,45.35399189,-75.82360644,1.98,357.68,-32.5,35.87
