#Team:9154
#BoatNo:1
#Source:SailLogger iOS
#Interval:1
#Device:iPhone
timestamp,latitude,longitude,sog,cog,heel,pitch
1721914366188.0,45.35211611,-75.82454673,1.43,-1.0,-4.5,24.45
1721914367188.0,45.35209381,-75.82453718,1.43,-1.0,5.1,26.58
1721914368188.0,45.35207891,-75.8245104,1.43,-1.0,12.77,27.85
1721914369188.0,45.35205835,-75.82453869,1.53,-1.0,2.97,27.38
1721914370188.0,45.35206279,-75.82455118,1.53,-1.0,-2.56,28.84
1721914371138.0,45.35206908,-75.82453961,1.59,-1.0,12.03,28.16
1721914372088.0,45.35208531,-75.82455269,1.59,-1.0,-16.83,17.33
1721914373038.0,45.35208601,-75.82454877,1.23,-1.0,-37.38,26.41
1721914373989.0,45.35208635,-75.82454276,1.12,-1.0,-27.07,25.63
1721914374985.0,45.35209153,-75.8245487,1.12,-1.0,-24.5,34.97
1721914375987.0,45.35208838,-75.82453407,1.54,71.31,-87.76,39.72
1721914376988.0,45.35208453,-75.82455752,1.54,260.65,-79.83,33.84
1721914377989.0,45.35208128,-75.82455363,0.04,135.61,-73.19,69.62
1721914378989.0,45.35208128,-75.82455363,0.04,-1.0,-133.24,53.95
1721914379990.0,45.35208247,-75.82455047,0.47,-1.0,-126.36,55.16
1721914380991.0,45.35208085,-75.82455284,0.33,-1.0,-110.29,56.45
1721914381991.0,45.35208841,-75.82457124,0.69,-1.0,-96.1,59.72
1721914382992.0,45.35208673,-75.82456237,0.69,-1.0,128.88,58.56
1721914383993.0,45.35207599,-75.82457544,0.69,-1.0,32.06,35.98
1721914384993.0,45.35207564,-75.8245871,0.5,-1.0,-19.02,58.5
1721914385994.0,45.35207993,-75.82458428,0.59,-1.0,-39.44,77.54
1721914386994.0,45.35207511,-75.8245768,0.5,-1.0,-23.87,84.12
1721914387994.0,45.35206122,-75.82453978,0.59,-1.0,10.92,85.8
1721914388995.0,45.35207645,-75.82454554,1.06,-1.0,19.25,80.78
1721914389995.0,45.3520932,-75.82456629,1.06,-1.0,32.11,86.6
1721914390996.0,45.35211452,-75.82456037,0.48,-1.0,-31.54,87.33
1721914391996.0,45.35212392,-75.82454039,0.44,-1.0,145.0,83.75
1721914392996.0,45.35215346,-75.82455903,1.56,-1.0,81.3,63.76
1721914393996.0,45.35217706,-75.82457694,1.84,-1.0,152.64,65.89
1721914394997.0,45.35219467,-75.82458343,1.56,-1.0,-27.99,71.2
1721914395997.0,45.35220516,-75.82459996,0.44,-1.0,22.05,72.6
1721914396997.0,45.35221877,-75.82462207,1.26,-1.0,-10.47,71.91
1721914397997.0,45.35222689,-75.82464124,1.26,-1.0,-5.73,-5.67
1721914398998.0,45.35227141,-75.82470153,1.14,-1.0,76.8,43.03
1721914399998.0,45.35228383,-75.82471973,1.48,-1.0,110.76,-8.35
1721914400998.0,45.35229126,-75.82473267,1.78,-1.0,102.69,-37.73
1721914401998.0,45.35230737,-75.82472592,1.82,-1.0,113.09,-11.97
1721914402998.0,45.35229771,-75.82471794,0.86,-1.0,105.99,-8.42
1721914403998.0,45.35230012,-75.82471164,1.01,-1.0,104.95,1.77
1721914404999.0,45.35230156,-75.82472086,1.15,-1.0,89.28,-24.42
1721914405999.0,45.35228017,-75.8247098,0.59,-1.0,97.41,-28.7
1721914406999.0,45.35226636,-75.82470435,0.68,-1.0,92.9,-22.61
1721914407999.0,45.35226346,-75.82471102,0.73,-1.0,92.84,1.33
1721914408999.0,45.35225272,-75.82471321,0.8,-1.0,92.5,0.18
1721914409999.0,45.35224576,-75.82471157,0.87,-1.0,91.37,16.03
1721914410999.0,45.35223748,-75.82470065,0.76,-1.0,88.79,12.99
1721914411999.0,45.35223494,-75.82469681,0.67,-1.0,90.47,15.54
1721914412999.0,45.35223822,-75.82469253,0.45,-1.0,93.82,15.84
1721914413999.0,45.3522306,-75.82467824,0.06,-1.0,94.84,13.04
1721914414999.0,45.35222286,-75.82467025,0.7,-1.0,94.09,13.37
1721914415999.0,45.35223066,-75.8246486,0.05,-1.0,95.27,10.97
1721914417000.0,45.35221665,-75.82463609,0.04,-1.0,94.29,6.7
1721914418000.0,45.35220712,-75.82463592,0.21,-1.0,91.59,15.15
1721914419000.0,45.35220254,-75.82460116,1.25,-1.0,86.37,10.97
1721914420000.0,45.35221772,-75.82461647,2.66,-1.0,38.45,35.08
